Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1664288549.9904077,38825,1664288549,990079782,world,0.2842709720134735,0.6582139730453491,0.9128921627998352,0.14312101900577545,0.6893098950386047,0.7013663649559021,0.11159548908472061
1664288549.990439,38826,1664288549,990114693,world,0.2841399908065796,0.6580471992492676,0.9129289984703064,0.1422453224658966,0.6897425055503845,0.7013494968414307,0.11013884842395782
1664288550.0003529,38827,1664288550,91680,world,0.28408077359199524,0.6580278873443604,0.9132325053215027,0.141128271818161,0.6887268424034119,0.7025368809700012,0.11036395281553268
1664288550.0104,38828,1664288550,10085061,world,0.2839694917201996,0.6578298807144165,0.9132928848266602,0.13950777053833008,0.6888160109519958,0.702684223651886,0.11092846095561981
1664288550.0203555,38829,1664288550,20077119,world,0.2838777005672455,0.657842218875885,0.9134250283241272,0.13990679383277893,0.6880275011062622,0.703507661819458,0.11009625345468521
1664288550.0303395,38830,1664288550,30080951,world,0.28390949964523315,0.657808780670166,0.9134088754653931,0.14020150899887085,0.6879058480262756,0.7035525441169739,0.11019479483366013
1664288550.040363,38831,1664288550,40077081,world,0.28393203020095825,0.6577910780906677,0.9134096503257751,0.14032751321792603,0.688042163848877,0.7034951448440552,0.10954783856868744
1664288550.0403812,38832,1664288550,40110141,world,0.28403156995773315,0.6578260064125061,0.9133273959159851,0.14075256884098053,0.6880297064781189,0.7034969329833984,0.10906828194856644
1664288550.0503497,38833,1664288550,50077513,world,0.28421077132225037,0.6577706336975098,0.9133836030960083,0.14149890840053558,0.6878780126571655,0.7038131952285767,0.10699973255395889
1664288550.0603616,38834,1664288550,60074650,world,0.2842710316181183,0.6578489542007446,0.9132726192474365,0.142006054520607,0.6880878806114197,0.7035822868347168,0.10649562627077103
1664288550.070339,38835,1664288550,70078708,world,0.28455987572669983,0.6580034494400024,0.9133487343788147,0.14320531487464905,0.6886575818061829,0.7028704285621643,0.10590619593858719
1664288550.0803394,38836,1664288550,80079079,world,0.28439268469810486,0.6578962802886963,0.9133484959602356,0.1428348422050476,0.6885257959365845,0.7031224966049194,0.10558947920799255
1664288550.0903175,38837,1664288550,90076410,world,0.28444376587867737,0.6579356789588928,0.9132398366928101,0.14242984354496002,0.6887068152427673,0.7030072808265686,0.10572336614131927
1664288550.1004038,38838,1664288550,100082381,world,0.284243106842041,0.657953679561615,0.9132280349731445,0.14230935275554657,0.6885843276977539,0.7030794024467468,0.10620299726724625
1664288550.1004255,38839,1664288550,100113008,world,0.28424766659736633,0.657970666885376,0.9132903814315796,0.14207465946674347,0.6882047057151794,0.7033591866493225,0.10712096840143204
1664288550.1103942,38840,1664288550,110078752,world,0.2852860391139984,0.6569151282310486,0.9123573899269104,0.1397945135831833,0.6937891840934753,0.6967262029647827,0.11698997020721436
1664288550.120394,38841,1664288550,120075057,world,0.2854725122451782,0.6568784713745117,0.9123762249946594,0.14092805981636047,0.6941501498222351,0.6963298320770264,0.11584369093179703
1664288550.130358,38842,1664288550,130073154,world,0.2857802212238312,0.6568907499313354,0.9124032258987427,0.14334814250469208,0.6954800486564636,0.6948757171630859,0.11360704153776169
1664288550.140374,38843,1664288550,140103499,world,0.2862163484096527,0.6570833921432495,0.9125363230705261,0.14675629138946533,0.6952089071273804,0.6947963833808899,0.11137878894805908
1664288550.1404474,38844,1664288550,140142592,world,0.28690391778945923,0.6573038697242737,0.9127434492111206,0.15154162049293518,0.6954120993614197,0.6939823031425476,0.10874643176794052
1664288550.1503665,38845,1664288550,150105693,world,0.2878900468349457,0.6573044657707214,0.9130029678344727,0.15625430643558502,0.6949812769889832,0.6934666633605957,0.10811860859394073
1664288550.1603947,38846,1664288550,160094059,world,0.28902170062065125,0.6576924920082092,0.9135023355484009,0.1619836837053299,0.6918908357620239,0.6956353783607483,0.105545774102211
1664288550.1703799,38847,1664288550,170093512,world,0.2903035879135132,0.6584131717681885,0.9142506718635559,0.16724683344364166,0.6884244084358215,0.6982022523880005,0.10302481055259705
1664288550.1803453,38848,1664288550,180101767,world,0.2924191355705261,0.6585938930511475,0.9144963622093201,0.173135444521904,0.6864494681358337,0.6985082626342773,0.10439120978116989
1664288550.19041,38849,1664288550,190095593,world,0.2948952913284302,0.658794641494751,0.9153114557266235,0.17464546859264374,0.6830621957778931,0.7013217806816101,0.10522773116827011
1664288550.1904995,38850,1664288550,190136488,world,0.29686400294303894,0.6596674919128418,0.9167596697807312,0.18190303444862366,0.676366925239563,0.7063450813293457,0.1025465875864029
1664288550.2003834,38851,1664288550,200093751,world,0.3000093400478363,0.6598951816558838,0.9180998802185059,0.18168522417545319,0.6712387800216675,0.7108796834945679,0.10525725036859512
1664288550.2103803,38852,1664288550,210100897,world,0.3027738034725189,0.6607481837272644,0.9197131395339966,0.1833047717809677,0.6639341711997986,0.7173438668251038,0.10492204129695892
1664288550.2203872,38853,1664288550,220103417,world,0.3065051734447479,0.6611307859420776,0.9217010736465454,0.18842743337154388,0.6579838991165161,0.7215030193328857,0.10481348633766174
1664288550.230404,38854,1664288550,230094640,world,0.30922427773475647,0.6623523235321045,0.9244833588600159,0.1899101436138153,0.6476986408233643,0.7314439415931702,0.09700720757246017
1664288550.240415,38855,1664288550,240095964,world,0.3133732080459595,0.662979245185852,0.9265136122703552,0.1927674412727356,0.6397475600242615,0.7377808690071106,0.09614197909832001
1664288550.2404761,38856,1664288550,240133645,world,0.31880223751068115,0.6626461744308472,0.9282486438751221,0.1940823793411255,0.6378354430198669,0.7384387850761414,0.10102596879005432
1664288550.2503953,38857,1664288550,250097364,world,0.32372671365737915,0.663101077079773,0.9306641221046448,0.19870708882808685,0.6328138709068298,0.7415579557418823,0.1007668524980545
1664288550.26037,38858,1664288550,260094270,world,0.3286760747432709,0.6633279919624329,0.9329718351364136,0.19815556704998016,0.6266797780990601,0.7472810745239258,0.09786710143089294
1664288550.2703965,38859,1664288550,270097809,world,0.3332151174545288,0.6649585962295532,0.9361465573310852,0.20130318403244019,0.616327166557312,0.7560389637947083,0.08957041800022125
1664288550.2803621,38860,1664288550,280092972,world,0.3389236032962799,0.6649380922317505,0.937938928604126,0.20042546093463898,0.6166084408760071,0.7559099793434143,0.09068592637777328
1664288550.2904563,38861,1664288550,290096420,world,0.3439580202102661,0.6666563749313354,0.9409978985786438,0.20574267208576202,0.6023462414741516,0.7672458291053772,0.07863093912601471
1664288550.2904727,38862,1664288550,290135026,world,0.3505462408065796,0.6653642058372498,0.9418578147888184,0.1974223107099533,0.612169623374939,0.7606921792030334,0.08729424327611923
1664288550.300394,38863,1664288550,300096086,world,0.35600027441978455,0.6673080325126648,0.9447706937789917,0.20796819031238556,0.6004764437675476,0.7682234048843384,0.07752528786659241
1664288550.310394,38864,1664288550,310100943,world,0.3630600869655609,0.6662596464157104,0.9470843076705933,0.20729491114616394,0.6002262830734253,0.7679463624954224,0.0837588980793953
