Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1664288560.2004519,40049,1664288560,200103513,world,0.2889805734157562,0.743911862373352,0.9127486348152161,-0.08268816024065018,-0.6968748569488525,-0.7108142971992493,-0.04765666648745537
1664288560.2004728,40050,1664288560,200137420,world,0.28933125734329224,0.7439945936203003,0.9127676486968994,-0.08432687073945999,-0.6971672177314758,-0.7104620337486267,-0.045724447816610336
1664288560.2103581,40051,1664288560,210106296,world,0.28981223702430725,0.7441097497940063,0.9128230214118958,-0.0863277018070221,-0.6980346441268921,-0.7095151543617249,-0.04339798167347908
1664288560.220344,40052,1664288560,220091719,world,0.29024553298950195,0.7441609501838684,0.9128512144088745,-0.09018432348966599,-0.6991527676582336,-0.7080274820327759,-0.04182468354701996
1664288560.23035,40053,1664288560,230108209,world,0.2908353805541992,0.744199812412262,0.9130567312240601,-0.09183051437139511,-0.6996186375617981,-0.7075083255767822,-0.03915282338857651
1664288560.2403653,40054,1664288560,240106823,world,0.2927044928073883,0.7433209419250488,0.9129101634025574,-0.09406085312366486,-0.7035770416259766,-0.702623188495636,-0.04952429234981537
1664288560.2504158,40055,1664288560,250105944,world,0.2928936183452606,0.7440458536148071,0.9136982560157776,-0.10318591445684433,-0.6979244947433472,-0.707248330116272,-0.04532046616077423
1664288560.2504408,40056,1664288560,250143792,world,0.2943516969680786,0.7444543242454529,0.913765549659729,-0.11000876873731613,-0.6937047243118286,-0.7101085186004639,-0.04917106777429581
1664288560.2604525,40057,1664288560,260107569,world,0.29518890380859375,0.7443709969520569,0.913834810256958,-0.1189304068684578,-0.6911066770553589,-0.7112652063369751,-0.04825969785451889
1664288560.2704046,40058,1664288560,270124327,world,0.2967495918273926,0.743817925453186,0.9143927693367004,-0.12392053753137589,-0.6917255520820618,-0.709548830986023,-0.05196075886487961
1664288560.2803674,40059,1664288560,280101449,world,0.29935023188591003,0.7421087026596069,0.9141731858253479,-0.1273859441280365,-0.6957778930664062,-0.7040895819664001,-0.0626404881477356
1664288560.2903435,40060,1664288560,290108620,world,0.3013512194156647,0.7420127987861633,0.9152016639709473,-0.13285765051841736,-0.6907573938369751,-0.7078962326049805,-0.06392225623130798
1664288560.3003626,40061,1664288560,300101585,world,0.3032113313674927,0.7419540882110596,0.9157785773277283,-0.134956493973732,-0.6864926218986511,-0.7117189764976501,-0.06301365047693253
1664288560.3004026,40062,1664288560,300138288,world,0.3061078190803528,0.7414049506187439,0.9172557592391968,-0.13853192329406738,-0.6807172894477844,-0.7163404226303101,-0.06549318879842758
1664288560.3103657,40063,1664288560,310109494,world,0.3091185986995697,0.74073725938797,0.9175397753715515,-0.1323482096195221,-0.6809453368186951,-0.7169960737228394,-0.06865985691547394
1664288560.3205051,40064,1664288560,320122384,world,0.3116390109062195,0.7411445379257202,0.9194417595863342,-0.13960900902748108,-0.6731129884719849,-0.7233577966690063,-0.06466636806726456
1664288560.3304656,40065,1664288560,330128734,world,0.314652681350708,0.7406683564186096,0.9205068349838257,-0.1405840814113617,-0.6705008149147034,-0.7257287502288818,-0.06310760229825974
1664288560.340429,40066,1664288560,340107489,world,0.31769129633903503,0.7408907413482666,0.9231815338134766,-0.14591331779956818,-0.6585885286331177,-0.7361629605293274,-0.05508784204721451
1664288560.350379,40067,1664288560,350099357,world,0.3214198052883148,0.7402360439300537,0.9245618581771851,-0.14569789171218872,-0.6556909680366516,-0.7386999726295471,-0.05624832585453987
1664288560.3505628,40068,1664288560,350137236,world,0.3256094455718994,0.7395188212394714,0.9263330698013306,-0.1439458578824997,-0.6543813347816467,-0.7398802042007446,-0.060349177569150925
1664288560.3604562,40069,1664288560,360124503,world,0.3292337656021118,0.7391171455383301,0.9278197288513184,-0.1466522216796875,-0.6518177390098572,-0.7419279217720032,-0.05630093440413475
1664288560.3703952,40070,1664288560,370110106,world,0.3338390588760376,0.7384030818939209,0.9293590784072876,-0.1442229151725769,-0.6512782573699951,-0.7426135540008545,-0.05967901274561882
1664288560.3804998,40071,1664288560,380116118,world,0.3383565843105316,0.737860381603241,0.9305380582809448,-0.1445748507976532,-0.6474162936210632,-0.7460168600082397,-0.058389123529195786
1664288560.3904724,40072,1664288560,390103841,world,0.343831330537796,0.7363503575325012,0.931424617767334,-0.13452757894992828,-0.6532151699066162,-0.7418726086616516,-0.06955201923847198
1664288560.4004123,40073,1664288560,400084336,world,0.34905093908309937,0.7353172302246094,0.9329111576080322,-0.13304170966148376,-0.6528060436248779,-0.7421371936798096,-0.07332538813352585
1664288560.4004357,40074,1664288560,400116661,world,0.354150652885437,0.7341523170471191,0.9341445565223694,-0.1303500533103943,-0.6576213240623474,-0.7378394603729248,-0.07833313941955566
1664288560.4104445,40075,1664288560,410089285,world,0.36102795600891113,0.7318699955940247,0.9357702732086182,-0.13175983726978302,-0.6580032110214233,-0.7358198761940002,-0.09077627211809158
1664288560.4204357,40076,1664288560,420089875,world,0.3670353293418884,0.7306267619132996,0.9374220371246338,-0.13059881329536438,-0.6594401597976685,-0.734140157699585,-0.09550297260284424
1664288560.4304125,40077,1664288560,430085714,world,0.3716147243976593,0.7304208278656006,0.9390159845352173,-0.12074741721153259,-0.6612527966499329,-0.7345581650733948,-0.09267745912075043
1664288560.4404042,40078,1664288560,440085773,world,0.3780546486377716,0.7292020916938782,0.9405850172042847,-0.11848438531160355,-0.6643098592758179,-0.7312549352645874,-0.09960024058818817
